discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_url,athlete_full_name,country_name
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,SILVER,Athlete,,https://olympics.com/en/athletes/zoi-sadowski-synnott,Zoi SADOWSKI SYNNOTT,New Zealand
Snowboard,beijing-2022,Women's Snowboard Big Air,Women,GOLD,Athlete,,https://olympics.com/en/athletes/anna-gasser,Anna GASSER,Austria
Snowboard,beijing-2022,Men's Snowboard Cross,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/omar-visintin,Omar VISINTIN,Italy
Snowboard,beijing-2022,Men's Snowboard Cross,Men,SILVER,Athlete,,https://olympics.com/en/athletes/eliot-grondin,Eliot GRONDIN,Canada
Snowboard,beijing-2022,Men's Snowboard Cross,Men,GOLD,Athlete,,https://olympics.com/en/athletes/alessandro-haemmerle,Alessandro HAEMMERLE,Austria
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,GOLD,Athlete,,https://olympics.com/en/athletes/parrot,Max PARROT,Canada
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,SILVER,Athlete,,https://olympics.com/en/athletes/yiming-su,Yiming SU,People's Republic of China
Snowboard,beijing-2022,Men's Snowboard Slopestyle,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/mark-mcmorris,Mark MCMORRIS,Canada
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,BRONZE,Athlete,,https://olympics.com/en/athletes/jan-scherrer,Jan SCHERRER,Switzerland
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,GOLD,Athlete,,https://olympics.com/en/athletes/ayumu-hirano,Ayumu HIRANO,Japan
Snowboard,beijing-2022,Men's Snowboard Halfpipe,Men,SILVER,Athlete,,https://olympics.com/en/athletes/scotty-james,Scotty JAMES,Australia
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,BRONZE,Athlete,,https://olympics.com/en/athletes/tess-coady,Tess COADY,Australia
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,SILVER,Athlete,,https://olympics.com/en/athletes/julia-marino,Julia MARINO,United States of America
Snowboard,beijing-2022,Women's Snowboard Slopestyle,Women,GOLD,Athlete,,https://olympics.com/en/athletes/zoi-sadowski-synnott,Zoi SADOWSKI SYNNOTT,New Zealand
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,SILVER,Athlete,,https://olympics.com/en/athletes/daniela-ulbing,Daniela ULBING,Austria
Snowboard,beijing-2022,Women's Parallel Giant Slalom,Women,GOLD,Athlete,,https://olympics.com/en/athletes/ester-ledecka,Ester LEDECKA,Czech Republic
